Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74.0,71.0,1.0,2.0,"August 3, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,479.0,448.0,25.0,6.0,"August 3, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 3, 2020"
CITY OF SANTA MARIA,18,2929.0,2776.0,118.0,34.0,"August 3, 2020"
COMMUNITY OF ORCUTT,0,207.0,198.0,6.0,3.0,"August 3, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,264.0,254.0,9.0,1.0,"August 3, 2020"
Out of County,,,0.0,0.0,1.0,"August 3, 2020"
Pending,4,219.0,193.0,26.0,,"August 3, 2020"
Total**,31,6464.0,6154.0,249.0,61.0,"August 3, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4 ,142.0,123.0,17.0,1.0,"July 31, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,768.0,719.0,44.0,6.0,"July 31, 2020"
CITY OF GOLETA,1,138.0,127.0,8.0,3.0,"July 31, 2020"
COMMUNITY OF ISLA VISTA,0,45.0,42.0,3.0,0.0,"July 31, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,105.0,99.0,5.0,1.0,"July 31, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,71.0,65.0,4.0,2.0,"July 31, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,447.0,414.0,27.0,6.0,"July 31, 2020"
FEDERAL PRISON IN LOMPOC,0,1011.0,1008.0,0.0,3.0,"July 31, 2020"
CITY OF SANTA MARIA,47,2789.0,2658.0,97.0,334.0,"July 31, 2020"
COMMUNITY OF ORCUTT,1,197.0,187.0,7.0,2.0,"July 31, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,253.0,240.0,12.0,1.0,"July 31, 2020"
Out of County,,,0.0,0.0,1.0,"July 31, 2020"
Pending,7,201.0,176.0,25.0,,"July 31, 2020"
Total**,74,6167.0,5858.0,249.0,60.0,"July 31, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1 ,138.0,118.0,19.0,0.0,"July 30, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,9,763.0,713.0,48.0,3.0,"July 30, 2020"
CITY OF GOLETA,3,137.0,126.0,9.0,2.0,"July 30, 2020"
COMMUNITY OF ISLA VISTA,0,45.0,40.0,5.0,0.0,"July 30, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,102.0,95.0,6.0,1.0,"July 30, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,71.0,67.0,4.0,0.0,"July 30, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,442.0,414.0,24.0,4.0,"July 30, 2020"
FEDERAL PRISON IN LOMPOC,0,1011.0,1008.0,0.0,3.0,"July 30, 2020"
CITY OF SANTA MARIA,33,2742.0,2607.0,117.0,18.0,"July 30, 2020"
COMMUNITY OF ORCUTT,1,196.0,185.0,10.0,0.0,"July 30, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,251.0,237.0,14.0,0.0,"July 30, 2020"
Out of County,,,0.0,0.0,1.0,"July 30, 2020"
Pending,10,196.0,162.0,34.0,,"July 30, 2020"
Total**,73,6094.0,5772.0,290.0,32.0,"July 30, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",12,137.0,114.0,22.0,0.0,"July 29, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,20,754.0,695.0,57.0,3.0,"July 29, 2020"
CITY OF GOLETA,3,134.0,125.0,7.0,2.0,"July 29, 2020"
COMMUNITY OF ISLA VISTA,4,45.0,39.0,6.0,0.0,"July 29, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,102.0,95.0,6.0,1.0,"July 29, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,67.0,64.0,3.0,0.0,"July 29, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,431.0,393.0,34.0,4.0,"July 29, 2020"
FEDERAL PRISON IN LOMPOC,0,1011.0,1008.0,0.0,3.0,"July 29, 2020"
CITY OF SANTA MARIA,30,2709.0,2533.0,158.0,18.0,"July 29, 2020"
COMMUNITY OF ORCUTT,3,195.0,183.0,11.0,0.0,"July 29, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,250.0,232.0,18.0,0.0,"July 29, 2020"
Out of County,,,0.0,0.0,1.0,"July 29, 2020"
Pending,6,186.0,159.0,27.0,,"July 29, 2020"
Total**,91,6021.0,5640.0,349.0,32.0,"July 29, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,125.0,109.0,15.0,0.0,"July 28, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,22,734.0,688.0,44.0,3.0,"July 28, 2020"
CITY OF GOLETA,0,131.0,122.0,7.0,2.0,"July 28, 2020"
COMMUNITY OF ISLA VISTA,0,41.0,39.0,2.0,0.0,"July 28, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,99.0,93.0,5.0,1.0,"July 28, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,67.0,63.0,4.0,0.0,"July 28, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,9,425.0,386.0,35.0,4.0,"July 28, 2020"
FEDERAL PRISON IN LOMPOC,0,1011.0,1008.0,0.0,3.0,"July 28, 2020"
CITY OF SANTA MARIA,41,2677.0,2492.0,167.0,18.0,"July 28, 2020"
COMMUNITY OF ORCUTT,4,192.0,179.0,12.0,0.0,"July 28, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,246.0,228.0,18.0,0.0,"July 28, 2020"
Out of County,,,0.0,0.0,1.0,"July 28, 2020"
Pending,9,183.0,159.0,24.0,,"July 28, 2020"
Total**,98,5931.0,5566.0,333.0,32.0,"July 28, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,120.0,106.0,13.0,0.0,"July 27, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,706.0,667.0,37.0,3.0,"July 27, 2020"
CITY OF GOLETA,1,131.0,121.0,8.0,2.0,"July 27, 2020"
COMMUNITY OF ISLA VISTA,1,41.0,39.0,2.0,0.0,"July 27, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,97.0,91.0,5.0,1.0,"July 27, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,66.0,61.0,5.0,0.0,"July 27, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,415.0,380.0,31.0,4.0,"July 27, 2020"
FEDERAL PRISON IN LOMPOC,0,1011.0,1008.0,0.0,3.0,"July 27, 2020"
CITY OF SANTA MARIA,38,2622.0,2441.0,164.0,18.0,"July 27, 2020"
COMMUNITY OF ORCUTT,1,187.0,179.0,7.0,0.0,"July 27, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,237.0,224.0,13.0,0.0,"July 27, 2020"
Out of County,,,0.0,0.0,1.0,"July 27, 2020"
Pending,11,203.0,179.0,23.0,,"July 27, 2020"
Total**,77,5836.0,5496.0,308.0,32.0,"July 27, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,112.0,100.0,11.0,0.0,"July 24, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,667.0,618.0,47.0,3.0,"July 24, 2020"
CITY OF GOLETA,3,121.0,113.0,6.0,2.0,"July 24, 2020"
COMMUNITY OF ISLA VISTA,3,40.0,35.0,5.0,0.0,"July 24, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,94.0,87.0,6.0,1.0,"July 24, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,63.0,56.0,7.0,0.0,"July 24, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,12,382.0,339.0,39.0,4.0,"July 24, 2020"
FEDERAL PRISON IN LOMPOC,1,1011.0,1001.0,7.0,3.0,"July 24, 2020"
CITY OF SANTA MARIA,77,2496.0,2296.0,183.0,18.0,"July 24, 2020"
COMMUNITY OF ORCUTT,1,173.0,162.0,10.0,0.0,"July 24, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,229.0,214.0,15.0,0.0,"July 24, 2020"
Out of County,,,0.0,0.0,1.0,"July 24, 2020"
Pending,12,188.0,154.0,33.0,,"July 24, 2020"
Total*,133,5576.0,5175.0,369.0,32.0,"July 24, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,109.0,94.0,14.0,0.0,"July 23, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,11,655.0,601.0,52.0,3.0,"July 23, 2020"
CITY OF GOLETA,0,118.0,101.0,15.0,2.0,"July 23, 2020"
COMMUNITY OF ISLA VISTA,2,37.0,34.0,3.0,0.0,"July 23, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,95.0,87.0,7.0,1.0,"July 23, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,61.0,54.0,7.0,0.0,"July 23, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,16,370.0,325.0,41.0,4.0,"July 23, 2020"
FEDERAL PRISON IN LOMPOC,0,1010.0,1002.0,5.0,3.0,"July 23, 2020"
CITY OF SANTA MARIA,93,2420.0,2235.0,168.0,18.0,"July 23, 2020"
COMMUNITY OF ORCUTT,9,172.0,160.0,11.0,0.0,"July 23, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",10,222.0,206.0,16.0,0.0,"July 23, 2020"
Out of County,,,0.0,0.0,1.0,"July 23, 2020"
Pending,11,175.0,152.0,22.0,,"July 23, 2020"
Total*,162,5444.0,5051.0,361.0,32.0,"July 23, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,104.0,94.0,9.0,0.0,"July 22, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,32,644.0,605.0,37.0,3.0,"July 22, 2020"
CITY OF GOLETA,4,118.0,105.0,11.0,2.0,"July 22, 2020"
COMMUNITY OF ISLA VISTA,1,35.0,31.0,4.0,0.0,"July 22, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,92.0,78.0,13.0,1.0,"July 22, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,59.0,51.0,8.0,0.0,"July 22, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,21,354.0,308.0,42.0,4.0,"July 22, 2020"
FEDERAL PRISON IN LOMPOC,0,1010.0,999.0,8.0,3.0,"July 22, 2020"
CITY OF SANTA MARIA,63,2327.0,2143.0,167.0,18.0,"July 22, 2020"
COMMUNITY OF ORCUTT,6,163.0,150.0,12.0,0.0,"July 22, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,212.0,196.0,16.0,0.0,"July 22, 2020"
Out of County,,,0.0,0.0,1.0,"July 22, 2020"
Pending,15,164.0,140.0,23.0,,"July 22, 2020"
Total*,160,5282.0,4900.0,350.0,32.0,"July 22, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,100.0,87.0,12.0,0.0,"July 21, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,19,611.0,573.0,36.0,3.0,"July 21, 2020"
CITY OF GOLETA,3,114.0,103.0,9.0,2.0,"July 21, 2020"
COMMUNITY OF ISLA VISTA,3,34.0,32.0,2.0,0.0,"July 21, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,86.0,73.0,12.0,1.0,"July 21, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,58.0,51.0,7.0,0.0,"July 21, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,12,333.0,296.0,33.0,4.0,"July 21, 2020"
FEDERAL PRISON IN LOMPOC,1,1010.0,1002.0,5.0,3.0,"July 21, 2020"
CITY OF SANTA MARIA,66,2265.0,2112.0,136.0,18.0,"July 21, 2020"
COMMUNITY OF ORCUTT,6,157.0,144.0,12.0,0.0,"July 21, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,205.0,185.0,20.0,0.0,"July 21, 2020"
Out of County,,,0.0,0.0,1.0,"July 21, 2020"
Pending,8,151.0,139.0,11.0,,"July 21, 2020"
Total*,135,5124.0,4797.0,295.0,32.0,"July 21, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,96.0,83.0,12.0,0.0,"July 20, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,11,593.0,552.0,39.0,3.0,"July 20, 2020"
CITY OF GOLETA,5,111.0,100.0,9.0,2.0,"July 20, 2020"
COMMUNITY OF ISLA VISTA,0,31.0,31.0,0.0,0.0,"July 20, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,84.0,77.0,6.0,1.0,"July 20, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,54.0,52.0,2.0,0.0,"July 20, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,9,321.0,282.0,35.0,4.0,"July 20, 2020"
FEDERAL PRISON IN LOMPOC,2,1009.0,999.0,7.0,3.0,"July 20, 2020"
CITY OF SANTA MARIA,43,2199.0,2059.0,123.0,18.0,"July 20, 2020"
COMMUNITY OF ORCUTT,3,151.0,140.0,10.0,0.0,"July 20, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,199.0,184.0,15.0,0.0,"July 20, 2020"
Out of County,,,0.0,0.0,1.0,"July 20, 2020"
Pending,7,143.0,126.0,16.0,,"July 20, 2020"
Total*,85,4991.0,4685.0,274.0,32.0,"July 20, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,88.0,81.0,6.0,0.0,"July 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,19,562.0,509.0,51.0,3.0,"July 17, 2020"
CITY OF GOLETA,4,101.0,89.0,10.0,2.0,"July 17, 2020"
COMMUNITY OF ISLA VISTA,0,29.0,28.0,1.0,0.0,"July 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,77.0,71.0,5.0,1.0,"July 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,51.0,41.0,10.0,0.0,"July 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,18,288.0,241.0,43.0,4.0,"July 17, 2020"
FEDERAL PRISON IN LOMPOC,6,1007.0,997.0,7.0,3.0,"July 17, 2020"
CITY OF SANTA MARIA,69,2099.0,1862.0,220.0,18.0,"July 17, 2020"
COMMUNITY OF ORCUTT,5,143.0,131.0,11.0,0.0,"July 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,185.0,173.0,12.0,0.0,"July 17, 2020"
Out of County,,,0.0,0.0,1.0,"July 17, 2020"
Pending,3,129.0,103.0,25.0,,"July 17, 2020"
Total*,137,4759.0,4326.0,401.0,32.0,"July 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,85.0,80.0,4.0,0.0,"July 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,44,544.0,491.0,51.0,3.0,"July 16, 2020"
CITY OF GOLETA,5,98.0,89.0,7.0,2.0,"July 16, 2020"
COMMUNITY OF ISLA VISTA,1,29.0,27.0,2.0,0.0,"July 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,74.0,66.0,7.0,1.0,"July 16, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,49.0,37.0,12.0,0.0,"July 16, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,271.0,235.0,32.0,4.0,"July 16, 2020"
FEDERAL PRISON IN LOMPOC,1,1001.0,995.0,3.0,3.0,"July 16, 2020"
CITY OF SANTA MARIA,112,2036.0,1792.0,227.0,18.0,"July 16, 2020"
COMMUNITY OF ORCUTT,4,138.0,123.0,14.0,0.0,"July 16, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",8,180.0,163.0,17.0,0.0,"July 16, 2020"
Out of County,,,0.0,0.0,1.0,"July 16, 2020"
Pending,15,130.0,91.0,38.0,,"July 16, 2020"
Total*,224,4635.0,4189.0,414.0,32.0,"July 16, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,81.0,76.0,4.0,0.0,"July 15, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,500.0,456.0,42.0,3.0,"July 15, 2020"
CITY OF GOLETA,2,93.0,85.0,6.0,2.0,"July 15, 2020"
COMMUNITY OF ISLA VISTA,0,28.0,26.0,2.0,0.0,"July 15, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,69.0,60.0,8.0,1.0,"July 15, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,43.0,35.0,8.0,0.0,"July 15, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,252.0,223.0,25.0,4.0,"July 15, 2020"
FEDERAL PRISON IN LOMPOC,2,1000.0,997.0,0.0,3.0,"July 15, 2020"
CITY OF SANTA MARIA,47,1924.0,1714.0,193.0,18.0,"July 15, 2020"
COMMUNITY OF ORCUTT,3,134.0,123.0,10.0,0.0,"July 15, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,172.0,157.0,15.0,0.0,"July 15, 2020"
Out of County,,,0.0,0.0,1.0,"July 15, 2020"
Pending,12,116.0,94.0,21.0,,"July 15, 2020"
Total*,89,3412.0,4046.0,334.0,32.0,"July 15, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,79.0,75.0,3.0,0.0,"July 14, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,15,490.0,453.0,35.0,3.0,"July 14, 2020"
CITY OF GOLETA,5,90.0,78.0,10.0,2.0,"July 14, 2020"
COMMUNITY OF ISLA VISTA,0,28.0,28.0,0.0,0.0,"July 14, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,69.0,61.0,7.0,1.0,"July 14, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,39.0,31.0,8.0,0.0,"July 14, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,15,242.0,209.0,29.0,4.0,"July 14, 2020"
FEDERAL PRISON IN LOMPOC,0,998.0,995.0,1.0,3.0,"July 14, 2020"
CITY OF SANTA MARIA,113,1869.0,1632.0,220.0,18.0,"July 14, 2020"
COMMUNITY OF ORCUTT,8,131.0,118.0,12.0,0.0,"July 14, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,171.0,150.0,21.0,0.0,"July 14, 2020"
Out of County,,,0.0,0.0,,"July 14, 2020"
Pending,13,117.0,91.0,26.0,,"July 14, 2020"
Total*,184,4323.0,3921.0,371.0,31.0,"July 14, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,77.0,69.0,7.0,0.0,"July 13, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,471.0,417.0,52.0,3.0,"July 13, 2020"
CITY OF GOLETA,1,85.0,71.0,12.0,2.0,"July 13, 2020"
COMMUNITY OF ISLA VISTA,1,28.0,24.0,4.0,0.0,"July 13, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,68.0,61.0,6.0,1.0,"July 13, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,34.0,27.0,7.0,0.0,"July 13, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,226.0,197.0,25.0,4.0,"July 13, 2020"
FEDERAL PRISON IN LOMPOC,0,998.0,994.0,1.0,3.0,"July 13, 2020"
CITY OF SANTA MARIA,38,1754.0,1570.0,167.0,18.0,"July 13, 2020"
COMMUNITY OF ORCUTT,2,123.0,108.0,14.0,0.0,"July 13, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,165.0,151.0,14.0,0.0,"July 13, 2020"
Out of County,,,0.0,0.0,,"July 13, 2020"
Pending,3,111.0,91.0,20.0,,"July 13, 2020"
Total*,56,4140.0,3780.0,329.0,31.0,"July 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,73.0,65.0,7.0,0.0,"July 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,18,451.0,391.0,58.0,3.0,"July 10, 2020"
CITY OF GOLETA,0,82.0,67.0,13.0,2.0,"July 10, 2020"
COMMUNITY OF ISLA VISTA,1,27.0,21.0,6.0,0.0,"July 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,61.0,53.0,7.0,1.0,"July 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,32.0,24.0,8.0,0.0,"July 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,216.0,190.0,22.0,4.0,"July 10, 2020"
FEDERAL PRISON IN LOMPOC,0,998.0,994.0,1.0,3.0,"July 10, 2020"
CITY OF SANTA MARIA,31,1628.0,1439.0,172.0,18.0,"July 10, 2020"
COMMUNITY OF ORCUTT,2,113.0,102.0,10.0,0.0,"July 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,151.0,134.0,17.0,0.0,"July 10, 2020"
Out of County,,,0.0,0.0,,"July 10, 2020"
Pending,5,99.0,75.0,24.0,,"July 10, 2020"
Total*,75,3931.0,3555.0,345.0,31.0,"July 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,72.0,60.0,11.0,0.0,"July 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,437.0,382.0,53.0,3.0,"July 9, 2020"
CITY OF GOLETA,3,82.0,68.0,12.0,2.0,"July 9, 2020"
COMMUNITY OF ISLA VISTA,0,26.0,23.0,3.0,0.0,"July 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,59.0,52.0,6.0,1.0,"July 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,30.0,21.0,9.0,0.0,"July 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,206.0,178.0,24.0,4.0,"July 9, 2020"
FEDERAL PRISON IN LOMPOC,0,998.0,994.0,1.0,3.0,"July 9, 2020"
CITY OF SANTA MARIA,33,1601.0,1397.0,189.0,16.0,"July 9, 2020"
COMMUNITY OF ORCUTT,0,111.0,95.0,15.0,0.0,"July 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,150.0,136.0,14.0,0.0,"July 9, 2020"
Out of County,,,0.0,0.0,,"July 9, 2020"
Pending,5,96.0,73.0,23.0,,"July 9, 2020"
Total*,67,3868.0,3479.0,360.0,29.0,"July 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,72.0,57.0,14.0,0.0,"July 8, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,11,424.0,342.0,80.0,3.0,"July 8, 2020"
CITY OF GOLETA,4,79.0,67.0,10.0,2.0,"July 8, 2020"
COMMUNITY OF ISLA VISTA,0,26.0,20.0,6.0,0.0,"July 8, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,58.0,46.0,11.0,1.0,"July 8, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,27.0,20.0,7.0,0.0,"July 8, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,201.0,168.0,29.0,4.0,"July 8, 2020"
FEDERAL PRISON IN LOMPOC,0,984.0,981.0,0.0,3.0,"July 8, 2020"
CITY OF SANTA MARIA,73,1572.0,1331.0,226.0,16.0,"July 8, 2020"
COMMUNITY OF ORCUTT,4,111.0,93.0,17.0,0.0,"July 8, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",9,147.0,127.0,20.0,0.0,"July 8, 2020"
Out of County,,,0.0,0.0,,"July 8, 2020"
Pending,11,107.0,83.0,24.0,,"July 8, 2020"
Total*,121,3808.0,3335.0,444.0,29.0,"July 8, 2020"
