Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87.0,83.0,2.0,2.0,"August 18, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,576.0,539.0,30.0,7.0,"August 18, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 18, 2020"
CITY OF SANTA MARIA,2,3324.0,3191.0,91.0,42.0,"August 18, 2020"
COMMUNITY OF ORCUTT,0,240.0,230.0,6.0,4.0,"August 18, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,311.0,290.0,18.0,3.0,"August 18, 2020"
Out of County,,,0.0,0.0,0.0,"August 18, 2020"
Pending,11,320.0,283.0,37.0,,"August 18, 2020"
Total**,29,7481.0,7144.0,256.0,81.0,"August 18, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,168.0,160.0,2.0,6.0,"August 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,980.0,936.0,35.0,9.0,"August 17, 2020"
CITY OF GOLETA,3,185.0,174.0,8.0,3.0,"August 17, 2020"
COMMUNITY OF ISLA VISTA,1,127.0,103.0,24.0,0.0,"August 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,131.0,126.0,4.0,1.0,"August 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87.0,80.0,5.0,2.0,"August 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,10,574.0,531.0,36.0,7.0,"August 17, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 17, 2020"
CITY OF SANTA MARIA,34,3323.0,3173.0,108.0,42.0,"August 17, 2020"
COMMUNITY OF ORCUTT,3,240.0,230.0,6.0,4.0,"August 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",9,311.0,291.0,17.0,3.0,"August 17, 2020"
Out of County,,,0.0,0.0,0.0,"August 17, 2020"
Pending,7,309.0,276.0,33.0,,"August 17, 2020"
Total**,76,7454.0,7096.0,278.0,80.0,"August 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,167.0,157.0,4.0,6.0,"August 14, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,956.0,905.0,43.0,8.0,"August 14, 2020"
CITY OF GOLETA,4,174.0,164.0,7.0,3.0,"August 14, 2020"
COMMUNITY OF ISLA VISTA,12,116.0,92.0,24.0,0.0,"August 14, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,127.0,120.0,6.0,1.0,"August 14, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,86.0,77.0,7.0,2.0,"August 14, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,12,554.0,519.0,28.0,7.0,"August 14, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 14, 2020"
CITY OF SANTA MARIA,60,3252.0,3091.0,121.0,40.0,"August 14, 2020"
